field,period,valid_month,status,source_file,output_file,message,stage
u200,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u200_Jun_2026.nc,"dataset_index=6, variable=avg_u, selected_level=200 hPa",monthly_extraction
v200,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v200_Jun_2026.nc,"dataset_index=6, variable=avg_v, selected_level=200 hPa",monthly_extraction
u850,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u850_Jun_2026.nc,"dataset_index=6, variable=avg_u, selected_level=850 hPa",monthly_extraction
v850,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v850_Jun_2026.nc,"dataset_index=6, variable=avg_v, selected_level=850 hPa",monthly_extraction
q850,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_q850_Jun_2026.nc,"dataset_index=6, variable=avg_q, selected_level=850 hPa",monthly_extraction
omega500,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega500_Jun_2026.nc,"dataset_index=6, variable=avg_w, selected_level=500 hPa",monthly_extraction
omega700,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega700_Jun_2026.nc,"dataset_index=6, variable=avg_w, selected_level=700 hPa",monthly_extraction
z200,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z200_Jun_2026.nc,"dataset_index=6, variable=gh, selected_level=200 hPa",monthly_extraction
z500,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z500_Jun_2026.nc,"dataset_index=6, variable=gh, selected_level=500 hPa",monthly_extraction
vp200,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_vp200_Jun_2026.nc,"dataset_index=6, variable=vp, selected_level=200 hPa",monthly_extraction
strf200,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_strf200_Jun_2026.nc,"dataset_index=6, variable=strf, selected_level=200 hPa",monthly_extraction
olr_proxy,Jun_2026,202606,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\flxf.01.2026061000.202606.avrg.grib.grb2,,"No valid candidate field found after trying all matching variables. Candidates=['avg_ulwrf', 'ulwrf', 'avg_ttr', 'ttr', 'avg_lwrf', 'lwrf', 'avg_lwavr', 'lwavr']. Available variables include=['acond', 'avg_10u', 'avg_10v', 'avg_2sh', 'avg_2t', 'avg_al', 'avg_ci', 'avg_fsr', 'avg_ishf', 'avg_pres', 'avg_q', 'avg_sithick', 'avg_slhtf', 'avg_sp', 'avg_t', 'avg_u', 'avg_utaua', 'avg_v', 'avg_veg', 'avg_vtaua', 'cduvb', 'cnwat', 'cpr', 'crain', 'csdlf', 'csdsf', 'csulf', 'csusf', 'cwork', 'duvb', 'evbs', 'evcw', 'fricv', 'gflux', 'gh', 'iegwss', 'ingwss', 'lsm', 'nbdsf', 'nddsf', 'orog', 'prate', 'pwat', 'qmax', 'qmin', 'sbsno', 'sde', 'sdlwrf', 'sdswrf', 'sdwe', 'sfexc', 'slt', 'sltyp', 'snohf', 'snowc', 'soill', 'soilw', 'srweq', 'ssrun', 'ssw', 'sulwrf', 'suswrf', 'tcc', 'tmax', 'tmin', 'trans', 'unknown', 'vbdsf', 'vddsf', 'vgtyp', 'watr']. Attempts=[]",monthly_extraction
sst_proxy,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\ocnh.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_sst_proxy_Jun_2026.nc,"dataset_index=2, variable=avg_t, proxy_score=35",monthly_extraction
u200,Jul_2026,202607,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202607.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u200_Jul_2026.nc,"dataset_index=6, variable=avg_u, selected_level=200 hPa",monthly_extraction
v200,Jul_2026,202607,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202607.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v200_Jul_2026.nc,"dataset_index=6, variable=avg_v, selected_level=200 hPa",monthly_extraction
u850,Jul_2026,202607,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202607.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u850_Jul_2026.nc,"dataset_index=6, variable=avg_u, selected_level=850 hPa",monthly_extraction
v850,Jul_2026,202607,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202607.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v850_Jul_2026.nc,"dataset_index=6, variable=avg_v, selected_level=850 hPa",monthly_extraction
q850,Jul_2026,202607,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202607.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_q850_Jul_2026.nc,"dataset_index=6, variable=avg_q, selected_level=850 hPa",monthly_extraction
omega500,Jul_2026,202607,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202607.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega500_Jul_2026.nc,"dataset_index=6, variable=avg_w, selected_level=500 hPa",monthly_extraction
