field,period,valid_month,status,source_file,output_file,message,stage
u200,Jun_2026,202606,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,,"extract_error: Could not find pressure coordinate for 200 hPa. Available coords: ['time', 'step', 'heightAboveSea', 'lat', 'valid_time', 'lon']",monthly_extraction
v200,Jun_2026,202606,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,,"extract_error: Could not find pressure coordinate for 200 hPa. Available coords: ['time', 'step', 'heightAboveSea', 'lat', 'valid_time', 'lon']",monthly_extraction
u850,Jun_2026,202606,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,,"extract_error: Could not find pressure coordinate for 850 hPa. Available coords: ['time', 'step', 'heightAboveSea', 'lat', 'valid_time', 'lon']",monthly_extraction
v850,Jun_2026,202606,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,,"extract_error: Could not find pressure coordinate for 850 hPa. Available coords: ['time', 'step', 'heightAboveSea', 'lat', 'valid_time', 'lon']",monthly_extraction
q850,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v3\CFSv2_q850_Jun_2026.nc,"dataset_index=6, variable=avg_q",monthly_extraction
omega500,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v3\CFSv2_omega500_Jun_2026.nc,"dataset_index=6, variable=avg_w",monthly_extraction
omega700,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v3\CFSv2_omega700_Jun_2026.nc,"dataset_index=6, variable=avg_w",monthly_extraction
z200,Jun_2026,202606,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,,"extract_error: Could not find pressure coordinate for 200 hPa. Available coords: ['time', 'step', 'highestTroposphericFreezing', 'lat', 'valid_time', 'lon']",monthly_extraction
z500,Jun_2026,202606,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,,"extract_error: Could not find pressure coordinate for 500 hPa. Available coords: ['time', 'step', 'highestTroposphericFreezing', 'lat', 'valid_time', 'lon']",monthly_extraction
vp200,Jun_2026,202606,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202606.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v3\CFSv2_vp200_Jun_2026.nc,"dataset_index=6, variable=vp",monthly_extraction
