field,period,domain,area_mean,units,aggregation
u850,month_08,east_africa,-0.13460520226773112,m s**-1,monthly_climatology
u850,month_08,atlantic_congo_ethiopia,-0.9889634795037993,m s**-1,monthly_climatology
u850,month_08,indian_ocean,0.4657851217527403,m s**-1,monthly_climatology
u850,month_09,ethiopia,1.3587746869117583,m s**-1,monthly_climatology
u850,month_09,greater_horn,-1.444639821551766,m s**-1,monthly_climatology
u850,month_09,east_africa,-1.4025145910272148,m s**-1,monthly_climatology
u850,month_09,atlantic_congo_ethiopia,-1.985057854612498,m s**-1,monthly_climatology
u850,month_09,indian_ocean,-0.4861598640410942,m s**-1,monthly_climatology
u850,JJA,ethiopia,3.1791555776817115,m s**-1,seasonal_climatology
u850,JJA,greater_horn,0.02885360405048431,m s**-1,seasonal_climatology
u850,JJA,east_africa,0.009406591475336673,m s**-1,seasonal_climatology
u850,JJA,atlantic_congo_ethiopia,-1.2536615738227228,m s**-1,seasonal_climatology
u850,JJA,indian_ocean,0.7493402480932981,m s**-1,seasonal_climatology
u850,JJAS,ethiopia,2.724060262211903,m s**-1,seasonal_climatology
u850,JJAS,greater_horn,-0.3395195496198508,m s**-1,seasonal_climatology
u850,JJAS,east_africa,-0.34357345408446194,m s**-1,seasonal_climatology
u850,JJAS,atlantic_congo_ethiopia,-1.4365103132514077,m s**-1,seasonal_climatology
u850,JJAS,indian_ocean,0.44046557723014074,m s**-1,seasonal_climatology
v850,month_06,ethiopia,3.5025496910977996,m s**-1,monthly_climatology
v850,month_06,greater_horn,2.550950908909668,m s**-1,monthly_climatology
v850,month_06,east_africa,3.4388378700195594,m s**-1,monthly_climatology
v850,month_06,atlantic_congo_ethiopia,1.6450279735215638,m s**-1,monthly_climatology
v850,month_06,indian_ocean,1.714096998753878,m s**-1,monthly_climatology
v850,month_07,ethiopia,3.9499605616207583,m s**-1,monthly_climatology
v850,month_07,greater_horn,2.9562988514739774,m s**-1,monthly_climatology
v850,month_07,east_africa,3.910181308212518,m s**-1,monthly_climatology
v850,month_07,atlantic_congo_ethiopia,1.7974247235022176,m s**-1,monthly_climatology
v850,month_07,indian_ocean,2.009645794558097,m s**-1,monthly_climatology
