field,period,aggregation,ethiopia_area_mean,units
prate,Jun_2026,monthly_mean,-0.5230395197868347,mm/day
prate,Jun_2026,monthly_total,-15.69118595123291,mm/month
prate,Jul_2026,monthly_mean,-0.2835632562637329,mm/day
prate,Jul_2026,monthly_total,-8.790461540222168,mm/month
prate,Aug_2026,monthly_mean,-0.2368411123752594,mm/day
prate,Aug_2026,monthly_total,-7.342073440551758,mm/month
prate,Sep_2026,monthly_mean,-0.3023471236228943,mm/day
prate,Sep_2026,monthly_total,-9.070413589477539,mm/month
prate,JJA_2026,season_mean,-0.3478146493434906,mm/day
prate,JJA_2026,season_total,-31.823720932006836,mm/season
prate,JJAS_2026,season_mean,-0.3364477753639221,mm/day
prate,JJAS_2026,season_total,-40.89413070678711,mm/season
tmpsfc,Jun_2026,monthly_anomaly,0.6897796392440796,K
tmpsfc,Jul_2026,monthly_anomaly,0.6907281875610352,K
tmpsfc,Aug_2026,monthly_anomaly,0.8015455603599548,K
tmpsfc,Sep_2026,monthly_anomaly,0.8974010348320007,K
tmpsfc,JJA_2026,season_mean_anomaly,0.727351188659668,K
tmpsfc,JJAS_2026,season_mean_anomaly,0.7698636054992676,K
tmp2m,Jun_2026,monthly_anomaly,0.7496727108955383,K
tmp2m,Jul_2026,monthly_anomaly,0.8928840160369873,K
tmp2m,Aug_2026,monthly_anomaly,1.0750997066497803,K
tmp2m,Sep_2026,monthly_anomaly,1.2146704196929932,K
tmp2m,JJA_2026,season_mean_anomaly,0.9058854579925537,K
tmp2m,JJAS_2026,season_mean_anomaly,0.9830817580223083,K
z200,Jun_2026,monthly_anomaly,42.81846618652344,m
z200,Jul_2026,monthly_anomaly,51.259090423583984,m
z200,Aug_2026,monthly_anomaly,56.654388427734375,m
z200,Sep_2026,monthly_anomaly,60.55434799194336,m
z200,JJA_2026,season_mean_anomaly,50.243995666503906,m
z200,JJAS_2026,season_mean_anomaly,52.82157897949219,m
